;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors
10;10;-CCw4ZzOGlI;7;['images\\maxresdefault\\10_GB_-CCw4ZzOGlI_0.jpg'];[False];[200];[];[];"  

Bmias yy

 
";[];[([(95, 95, 215), 'SlateBlue3'], 19620.0), ([(38, 38, 38), 'Grey15'], 6565.0), ([(48, 48, 48), 'Grey19'], 5231.0), ([(95, 0, 135), 'Purple4'], 4389.0), ([(95, 0, 95), 'DeepPink4'], 2796.0)];[([(0, 0, 128), 'Navy'], 5986.0), ([(128, 0, 128), 'Purple'], 5722.0), ([(0, 0, 0), 'Black'], 2083.0), ([(192, 192, 192), 'Silver'], 1734.0), ([(255, 255, 0), 'Yellow'], 1661.0)]
11;11;-DRsfNObKIQ;35;['images\\maxresdefault\\11_GB_-DRsfNObKIQ_0.jpg'];[False];[200];[];[];" 
  

or

Ss aoa
BON 2018

\cyprus "" &

 
";['neutral'];[([(0, 0, 95), 'NavyBlue'], 6707.0), ([(95, 0, 0), 'DarkRed'], 4999.0), ([(38, 38, 38), 'Grey15'], 4347.0), ([(255, 0, 0), 'Red'], 4150.0), ([(215, 0, 0), 'Red3'], 3222.0)];[([(255, 0, 0), 'Red'], 8489.0), ([(0, 0, 128), 'Navy'], 3960.0), ([(128, 0, 0), 'Maroon'], 3488.0), ([(128, 128, 128), 'Gray'], 2420.0), ([(255, 255, 255), 'White'], 761.0)]
12;12;-GZZ-KSfuCw;8;['images\\maxresdefault\\12_GB_-GZZ-KSfuCw_0.jpg'];[False];[200];['person', 'person'];[0.74404925, 0.52531374];" 
";['sad'];[([(28, 28, 28), 'Grey11'], 6012.0), ([(135, 175, 215), 'LightSkyBlue3'], 5264.0), ([(38, 38, 38), 'Grey15'], 4652.0), ([(68, 68, 68), 'Grey27'], 4211.0), ([(58, 58, 58), 'Grey23'], 4018.0)];[([(0, 0, 0), 'Black'], 6322.0), ([(128, 128, 128), 'Gray'], 4590.0), ([(0, 0, 128), 'Navy'], 2923.0), ([(192, 192, 192), 'Silver'], 2446.0), ([(128, 128, 0), 'Olive'], 1706.0)]
13;13;-Gptp_ui-Sg;12;['images\\maxresdefault\\13_GB_-Gptp_ui-Sg_0.jpg'];[False];[200];['person'];[0.7504187];" 
";[];[([(135, 95, 95), 'LightPink4'], 2963.0), ([(78, 78, 78), 'Grey30'], 2886.0), ([(68, 68, 68), 'Grey27'], 2848.0), ([(175, 135, 95), 'LightSalmon3'], 2740.0), ([(58, 58, 58), 'Grey23'], 2706.0)];[([(128, 128, 128), 'Gray'], 10691.0), ([(192, 192, 192), 'Silver'], 4400.0), ([(128, 0, 128), 'Purple'], 1630.0), ([(0, 0, 0), 'Black'], 1533.0), ([(128, 0, 0), 'Maroon'], 1145.0)]
14;14;-GvVeT7pNT8;12;['images\\maxresdefault\\14_GB_-GvVeT7pNT8_0.jpg'];[False];[200];['person'];[0.9817238];" 
";['neutral'];[([(135, 135, 175), 'LightSlateGrey'], 12505.0), ([(175, 175, 215), 'LightSteelBlue3'], 10261.0), ([(255, 255, 255), 'White'], 6701.0), ([(238, 238, 238), 'Grey93'], 2879.0), ([(168, 168, 168), 'Grey66'], 2273.0)];[([(192, 192, 192), 'Silver'], 11637.0), ([(255, 255, 255), 'White'], 3829.0), ([(128, 0, 0), 'Maroon'], 1928.0), ([(128, 128, 128), 'Gray'], 1599.0), ([(0, 0, 0), 'Black'], 1021.0)]
15;15;-Hz00xRLPyo;12;['ERROR'];[True];[404];[];[];;[];[];[]
16;16;-KeFvjm_hcA;1;['images\\maxresdefault\\16_GB_-KeFvjm_hcA_0.jpg'];[False];[200];['person'];[0.844957];" 
";['neutral'];[([(215, 215, 175), 'LightYellow3'], 7799.0), ([(218, 218, 218), 'Grey85'], 3063.0), ([(228, 228, 228), 'Grey89'], 3047.0), ([(255, 215, 175), 'NavajoWhite1'], 2959.0), ([(238, 238, 238), 'Grey93'], 2810.0)];[([(192, 192, 192), 'Silver'], 6473.0), ([(255, 255, 255), 'White'], 4496.0), ([(0, 0, 0), 'Black'], 3059.0), ([(128, 128, 0), 'Olive'], 2636.0), ([(128, 128, 128), 'Gray'], 2283.0)]
17;17;-N5eucPMTTc;1;['images\\maxresdefault\\17_GB_-N5eucPMTTc_0.jpg'];[False];[200];['person', 'person', 'person'];[0.60928327, 0.604439, 0.5856226];" 
";['happy', 'neutral'];[([(208, 208, 208), 'Grey82'], 4304.0), ([(228, 228, 228), 'Grey89'], 3974.0), ([(198, 198, 198), 'Grey78'], 3137.0), ([(255, 255, 255), 'White'], 2884.0), ([(8, 8, 8), 'Grey3'], 2447.0)];[([(192, 192, 192), 'Silver'], 5571.0), ([(0, 0, 0), 'Black'], 4489.0), ([(255, 255, 255), 'White'], 3610.0), ([(128, 128, 128), 'Gray'], 3195.0), ([(255, 255, 0), 'Yellow'], 1678.0)]
18;18;-PJaVBbRKcI;1;['images\\maxresdefault\\18_GB_-PJaVBbRKcI_0.jpg'];[False];[200];['person', 'person'];[0.93382066, 0.79768896];" 
";['happy'];[([(215, 255, 255), 'LightCyan1'], 5098.0), ([(58, 58, 58), 'Grey23'], 4701.0), ([(28, 28, 28), 'Grey11'], 3998.0), ([(38, 38, 38), 'Grey15'], 3843.0), ([(48, 48, 48), 'Grey19'], 3680.0)];[([(0, 0, 0), 'Black'], 5964.0), ([(128, 128, 128), 'Gray'], 4409.0), ([(192, 192, 192), 'Silver'], 3586.0), ([(0, 0, 128), 'Navy'], 3423.0), ([(255, 255, 255), 'White'], 1936.0)]
19;19;-QPdRfqTnt4;1;['ERROR'];[True];[404];[];[];;[];[];[]
20;20;-SIp6xSP7ds;13;['ERROR'];[True];[404];[];[];;[];[];[]
21;21;-VgOGzBcMIg;5;['images\\maxresdefault\\21_GB_-VgOGzBcMIg_0.jpg'];[False];[200];['person'];[0.9366237];"   

~@eeetArvre
";[];[([(198, 198, 198), 'Grey78'], 3268.0), ([(95, 135, 135), 'PaleTurquoise4'], 3124.0), ([(135, 175, 135), 'DarkSeaGreen'], 3097.0), ([(95, 135, 175), 'SteelBlue'], 2968.0), ([(215, 175, 175), 'MistyRose3'], 2368.0)];[([(128, 128, 128), 'Gray'], 9743.0), ([(192, 192, 192), 'Silver'], 7408.0), ([(0, 128, 128), 'Teal'], 2001.0), ([(128, 0, 128), 'Purple'], 1048.0), ([(128, 0, 0), 'Maroon'], 403.0)]
22;22;-XcvFTYVxnA;1;['images\\maxresdefault\\22_GB_-XcvFTYVxnA_0.jpg'];[False];[200];['person', 'person'];[0.8807458, 0.78260773];" 
";['happy'];[([(28, 28, 28), 'Grey11'], 5611.0), ([(135, 95, 95), 'LightPink4'], 5142.0), ([(8, 8, 8), 'Grey3'], 4850.0), ([(18, 18, 18), 'Grey7'], 4245.0), ([(175, 135, 95), 'LightSalmon3'], 3841.0)];[([(128, 128, 128), 'Gray'], 10643.0), ([(0, 0, 0), 'Black'], 5909.0), ([(192, 192, 192), 'Silver'], 1633.0), ([(128, 0, 0), 'Maroon'], 1609.0), ([(128, 128, 0), 'Olive'], 922.0)]
23;23;-XjayddbksQ;1;['ERROR'];[True];[404];[];[];;[];[];[]
24;24;-a12nTEcoqE;1;['images\\maxresdefault\\24_GB_-a12nTEcoqE_0.jpg'];[False];[200];['person', 'person'];[0.54462355, 0.52130157];"Peed ade

    

NEEDS NO INTRODU¢

""™ DAVID LEY

   
";['happy'];[([(28, 28, 28), 'Grey11'], 21564.0), ([(18, 18, 18), 'Grey7'], 8888.0), ([(38, 38, 38), 'Grey15'], 5076.0), ([(135, 95, 95), 'LightPink4'], 3131.0), ([(48, 48, 48), 'Grey19'], 2434.0)];[([(0, 0, 0), 'Black'], 11261.0), ([(128, 128, 128), 'Gray'], 5199.0), ([(128, 0, 0), 'Maroon'], 2542.0), ([(192, 192, 192), 'Silver'], 600.0), ([(255, 255, 255), 'White'], 542.0)]
25;25;-bx_vG94LSo;22;['ERROR'];[True];[404];[];[];;[];[];[]
26;26;-crLmRLgeNE;3;['ERROR'];[True];[404];[];[];;[];[];[]
27;27;-i1_jpjmdJE;10;['ERROR'];[True];[404];[];[];;[];[];[]
28;28;-jWIDwq44ZI;5;['images\\maxresdefault\\28_GB_-jWIDwq44ZI_0.jpg'];[False];[200];[];[];"MID-SEASON FOUR TRAILER

&

 
";['happy'];[([(8, 8, 8), 'Grey3'], 23942.0), ([(0, 0, 0), 'Black'], 9680.0), ([(18, 18, 18), 'Grey7'], 7168.0), ([(28, 28, 28), 'Grey11'], 3010.0), ([(38, 38, 38), 'Grey15'], 1419.0)];[([(0, 0, 0), 'Black'], 14946.0), ([(128, 128, 0), 'Olive'], 1981.0), ([(128, 128, 128), 'Gray'], 1388.0), ([(0, 128, 0), 'Green'], 1299.0), ([(128, 0, 0), 'Maroon'], 621.0)]
29;29;-kxPDAiuijo;13;['images\\maxresdefault\\29_GB_-kxPDAiuijo_0.jpg'];[False];[200];['person', 'person', 'person', 'cup', 'person', 'bottle'];[0.7299646, 0.7196781, 0.70194834, 0.6524659, 0.59042555, 0.557276];" 
";[];[([(58, 58, 58), 'Grey23'], 3665.0), ([(215, 0, 95), 'DeepPink3'], 3397.0), ([(48, 48, 48), 'Grey19'], 3063.0), ([(68, 68, 68), 'Grey27'], 3055.0), ([(78, 78, 78), 'Grey30'], 2663.0)];[([(192, 192, 192), 'Silver'], 5900.0), ([(128, 128, 128), 'Gray'], 5441.0), ([(0, 0, 0), 'Black'], 2991.0), ([(128, 0, 0), 'Maroon'], 2357.0), ([(255, 0, 255), 'Magenta'], 1009.0)]
30;30;-l6wrTvMcbY;22;['images\\maxresdefault\\30_GB_-l6wrTvMcbY_0.jpg'];[False];[200];[];[];" 
";['neutral'];[([(135, 95, 135), 'Plum4'], 17589.0), ([(255, 175, 95), 'SandyBrown'], 9371.0), ([(215, 135, 95), 'LightSalmon3'], 8493.0), ([(215, 135, 175), 'Pink3'], 7871.0), ([(58, 58, 58), 'Grey23'], 5552.0)];[([(255, 255, 0), 'Yellow'], 7746.0), ([(128, 128, 128), 'Gray'], 5477.0), ([(128, 0, 0), 'Maroon'], 2317.0), ([(192, 192, 192), 'Silver'], 2169.0), ([(0, 0, 0), 'Black'], 1528.0)]
31;31;-mNlASb89Wo;1;['images\\maxresdefault\\31_GB_-mNlASb89Wo_0.jpg'];[False];[200];[];[];" 
";[];[([(18, 18, 18), 'Grey7'], 14916.0), ([(28, 28, 28), 'Grey11'], 11500.0), ([(68, 68, 68), 'Grey27'], 5730.0), ([(48, 48, 48), 'Grey19'], 4965.0), ([(78, 78, 78), 'Grey30'], 4541.0)];[([(0, 0, 0), 'Black'], 10940.0), ([(128, 128, 128), 'Gray'], 4998.0), ([(128, 128, 0), 'Olive'], 1825.0), ([(128, 0, 0), 'Maroon'], 1682.0), ([(192, 192, 192), 'Silver'], 1083.0)]
32;32;-mZZAvIHMvQ;15;['images\\maxresdefault\\32_GB_-mZZAvIHMvQ_0.jpg'];[False];[200];[];[];" 
";[];[([(135, 95, 95), 'LightPink4'], 3526.0), ([(68, 68, 68), 'Grey27'], 3455.0), ([(78, 78, 78), 'Grey30'], 3212.0), ([(38, 38, 38), 'Grey15'], 3195.0), ([(175, 135, 135), 'RosyBrown'], 3189.0)];[([(128, 128, 128), 'Gray'], 8756.0), ([(192, 192, 192), 'Silver'], 5887.0), ([(0, 0, 0), 'Black'], 2325.0), ([(0, 255, 0), 'Lime'], 964.0), ([(128, 0, 0), 'Maroon'], 772.0)]
33;33;-pOSRBAqUdM;14;['ERROR'];[True];[404];[];[];;[];[];[]
34;34;-su6If-bd4U;10;['images\\maxresdefault\\34_GB_-su6If-bd4U_0.jpg'];[False];[200];['person', 'book'];[0.73485315, 0.5042101];" 
";[];[([(28, 28, 28), 'Grey11'], 8969.0), ([(38, 38, 38), 'Grey15'], 7253.0), ([(18, 18, 18), 'Grey7'], 5077.0), ([(135, 95, 95), 'LightPink4'], 4580.0), ([(48, 48, 48), 'Grey19'], 4421.0)];[([(128, 128, 128), 'Gray'], 6754.0), ([(0, 0, 0), 'Black'], 5788.0), ([(128, 0, 0), 'Maroon'], 4293.0), ([(128, 128, 0), 'Olive'], 1498.0), ([(192, 192, 192), 'Silver'], 673.0)]
35;35;-tjucPZlcgc;3;['images\\maxresdefault\\35_GB_-tjucPZlcgc_0.jpg'];[False];[200];['person', 'person'];[0.8216245, 0.8205807];" 
";['happy'];[([(238, 238, 238), 'Grey93'], 8565.0), ([(215, 215, 255), 'LightSteelBlue1'], 6563.0), ([(175, 135, 135), 'RosyBrown'], 4801.0), ([(135, 95, 95), 'LightPink4'], 3743.0), ([(38, 38, 38), 'Grey15'], 3658.0)];[([(128, 128, 128), 'Gray'], 6329.0), ([(192, 192, 192), 'Silver'], 4631.0), ([(0, 0, 0), 'Black'], 4441.0), ([(128, 0, 0), 'Maroon'], 1846.0), ([(255, 255, 255), 'White'], 1554.0)]
36;36;-trTIbE3N4Y;13;['images\\maxresdefault\\36_GB_-trTIbE3N4Y_0.jpg'];[False];[200];['person', 'bicycle'];[0.8291275, 0.5375915];" 
";['neutral'];[([(8, 8, 8), 'Grey3'], 14890.0), ([(18, 18, 18), 'Grey7'], 11868.0), ([(28, 28, 28), 'Grey11'], 5394.0), ([(38, 38, 38), 'Grey15'], 3456.0), ([(48, 48, 48), 'Grey19'], 2078.0)];[([(0, 0, 0), 'Black'], 13609.0), ([(128, 0, 0), 'Maroon'], 1592.0), ([(128, 128, 128), 'Gray'], 1465.0), ([(0, 128, 128), 'Teal'], 1063.0), ([(128, 128, 0), 'Olive'], 1010.0)]
37;37;-uuq9V38Akw;6;['images\\maxresdefault\\37_GB_-uuq9V38Akw_0.jpg'];[False];[200];['person'];[0.91951567];" 
";['neutral'];[([(95, 135, 135), 'PaleTurquoise4'], 6572.0), ([(95, 95, 135), 'MediumPurple4'], 4768.0), ([(38, 38, 38), 'Grey15'], 4276.0), ([(135, 175, 215), 'LightSkyBlue3'], 3658.0), ([(28, 28, 28), 'Grey11'], 3138.0)];[([(128, 128, 128), 'Gray'], 8859.0), ([(0, 0, 0), 'Black'], 4559.0), ([(192, 192, 192), 'Silver'], 3643.0), ([(0, 0, 128), 'Navy'], 1399.0), ([(128, 0, 0), 'Maroon'], 1054.0)]
38;38;-xt_j2aIAkg;13;['ERROR'];[True];[404];[];[];;[];[];[]
39;39;-xxfT301Ii8;6;['ERROR'];[True];[404];[];[];;[];[];[]
40;40;-yMXWp-Fh3g;10;['images\\maxresdefault\\40_GB_-yMXWp-Fh3g_0.jpg'];[False];[200];['person', 'person'];[0.64974755, 0.5361357];"KAZAKHSTAN |

 
";[];[([(68, 68, 68), 'Grey27'], 6993.0), ([(78, 78, 78), 'Grey30'], 5115.0), ([(58, 58, 58), 'Grey23'], 4685.0), ([(255, 255, 255), 'White'], 4512.0), ([(48, 48, 48), 'Grey19'], 3965.0)];[([(128, 128, 128), 'Gray'], 6138.0), ([(0, 0, 0), 'Black'], 5395.0), ([(192, 192, 192), 'Silver'], 3701.0), ([(0, 128, 128), 'Teal'], 2577.0), ([(255, 255, 255), 'White'], 1951.0)]
41;41;-z2EqJTyAiU;14;['images\\maxresdefault\\41_GB_-z2EqJTyAiU_0.jpg'];[False];[200];['person'];[0.5630001];"  
";[];[([(8, 8, 8), 'Grey3'], 12550.0), ([(18, 18, 18), 'Grey7'], 8269.0), ([(28, 28, 28), 'Grey11'], 7116.0), ([(38, 38, 38), 'Grey15'], 6600.0), ([(48, 48, 48), 'Grey19'], 4486.0)];[([(0, 0, 0), 'Black'], 10852.0), ([(128, 128, 128), 'Gray'], 3154.0), ([(0, 128, 128), 'Teal'], 2653.0), ([(0, 0, 128), 'Navy'], 1939.0), ([(192, 192, 192), 'Silver'], 1189.0)]
42;42;0-VAnh7r-_8;2;['images\\maxresdefault\\42_GB_0-VAnh7r-_8_0.jpg'];[False];[200];[];[];" 
";[];[([(28, 28, 28), 'Grey11'], 15620.0), ([(18, 18, 18), 'Grey7'], 13251.0), ([(38, 38, 38), 'Grey15'], 9060.0), ([(48, 48, 48), 'Grey19'], 5409.0), ([(58, 58, 58), 'Grey23'], 3087.0)];[([(0, 0, 0), 'Black'], 14719.0), ([(128, 0, 0), 'Maroon'], 1786.0), ([(128, 128, 128), 'Gray'], 1606.0), ([(128, 128, 0), 'Olive'], 1047.0), ([(0, 0, 128), 'Navy'], 727.0)]
43;43;03RQLmDNIEw;7;['ERROR'];[True];[404];[];[];;[];[];[]
44;44;07w3u8iLa-s;16;['images\\maxresdefault\\44_GB_07w3u8iLa-s_0.jpg'];[False];[200];['person'];[0.8386117];" 
";['fear'];[([(215, 175, 175), 'MistyRose3'], 3889.0), ([(18, 18, 18), 'Grey7'], 3783.0), ([(28, 28, 28), 'Grey11'], 3662.0), ([(215, 175, 135), 'Tan'], 2871.0), ([(215, 215, 175), 'LightYellow3'], 2842.0)];[([(192, 192, 192), 'Silver'], 8162.0), ([(0, 0, 0), 'Black'], 4834.0), ([(128, 128, 0), 'Olive'], 2484.0), ([(128, 128, 128), 'Gray'], 2466.0), ([(128, 0, 0), 'Maroon'], 1439.0)]
45;45;08qd-vsHbaY;35;['ERROR'];[True];[404];[];[];;[];[];[]
46;46;09lz1fRBBsY;13;['images\\maxresdefault\\46_GB_09lz1fRBBsY_0.jpg'];[False];[200];[];[];" 
";[];[([(18, 18, 18), 'Grey7'], 7116.0), ([(28, 28, 28), 'Grey11'], 6575.0), ([(255, 255, 255), 'White'], 3426.0), ([(48, 48, 48), 'Grey19'], 3054.0), ([(68, 68, 68), 'Grey27'], 2816.0)];[([(128, 128, 128), 'Gray'], 8557.0), ([(0, 0, 0), 'Black'], 7243.0), ([(192, 192, 192), 'Silver'], 2561.0), ([(255, 255, 255), 'White'], 2375.0), ([(255, 0, 0), 'Red'], 0.0)]
47;47;0ANDjPQPS_Q;10;['ERROR'];[True];[404];[];[];;[];[];[]
48;48;0AUFyFEt35g;2;['images\\maxresdefault\\48_GB_0AUFyFEt35g_0.jpg'];[False];[200];[];[];" 
";[];[([(0, 0, 0), 'Black'], 13237.0), ([(18, 18, 18), 'Grey7'], 7260.0), ([(135, 95, 95), 'LightPink4'], 6211.0), ([(28, 28, 28), 'Grey11'], 5848.0), ([(38, 38, 38), 'Grey15'], 4024.0)];[([(0, 0, 0), 'Black'], 12997.0), ([(128, 128, 128), 'Gray'], 3042.0), ([(128, 128, 0), 'Olive'], 1680.0), ([(128, 0, 0), 'Maroon'], 1592.0), ([(192, 192, 192), 'Silver'], 1317.0)]
49;49;0DpCDxoj_Xg;1;['ERROR'];[True];[404];[];[];;[];[];[]
50;50;0EQuVfP-vXs;12;['ERROR'];[True];[404];[];[];;[];[];[]
51;51;0GGbHtKmobQ;2;['images\\maxresdefault\\51_GB_0GGbHtKmobQ_0.jpg'];[False];[200];['person'];[0.93999696];" 
";[];[([(8, 8, 8), 'Grey3'], 19388.0), ([(0, 0, 0), 'Black'], 15756.0), ([(28, 28, 28), 'Grey11'], 12360.0), ([(18, 18, 18), 'Grey7'], 6006.0), ([(38, 38, 38), 'Grey15'], 2475.0)];[([(0, 0, 0), 'Black'], 19336.0), ([(128, 0, 0), 'Maroon'], 1077.0), ([(128, 128, 0), 'Olive'], 148.0), ([(0, 128, 128), 'Teal'], 62.0), ([(128, 128, 128), 'Gray'], 58.0)]
52;52;0GQmGOju6CE;26;['ERROR'];[True];[404];[];[];;[];[];[]
53;53;0JcNT6jYGwI;22;['images\\maxresdefault\\53_GB_0JcNT6jYGwI_0.jpg'];[False];[200];['person'];[0.9284354];"Paty del

BES | cme At Ee

 
";[];[([(95, 135, 175), 'SteelBlue'], 4436.0), ([(108, 108, 108), 'Grey42'], 4067.0), ([(98, 98, 98), 'Grey39'], 3476.0), ([(215, 95, 135), 'HotPink3'], 2858.0), ([(88, 88, 88), 'Grey35'], 2719.0)];[([(128, 128, 128), 'Gray'], 12082.0), ([(192, 192, 192), 'Silver'], 5061.0), ([(0, 0, 0), 'Black'], 2074.0), ([(128, 0, 128), 'Purple'], 732.0), ([(255, 255, 255), 'White'], 187.0)]
54;54;0NS51Iph2Ms;8;['images\\maxresdefault\\54_GB_0NS51Iph2Ms_0.jpg'];[False];[200];['person', 'person', 'tie'];[0.9611212, 0.9246486, 0.81093377];" 
";['neutral', 'neutral'];[([(38, 38, 38), 'Grey15'], 4415.0), ([(135, 95, 95), 'LightPink4'], 4279.0), ([(28, 28, 28), 'Grey11'], 4136.0), ([(0, 95, 95), 'DeepSkyBlue4'], 3903.0), ([(175, 215, 255), 'LightSkyBlue1'], 3831.0)];[([(128, 128, 128), 'Gray'], 8905.0), ([(0, 0, 0), 'Black'], 4466.0), ([(255, 255, 255), 'White'], 3187.0), ([(192, 192, 192), 'Silver'], 1537.0), ([(0, 128, 0), 'Green'], 746.0)]
55;55;0NWKUHl6JLY;10;['images\\maxresdefault\\55_GB_0NWKUHl6JLY_0.jpg'];[False];[200];['stop sign'];[0.68423325];"Nindies Showcase Spring 2018

 
";[];[([(255, 255, 255), 'White'], 40313.0), ([(215, 0, 0), 'Red3'], 9463.0), ([(255, 0, 0), 'Red'], 3516.0), ([(215, 95, 95), 'IndianRed'], 1261.0), ([(238, 238, 238), 'Grey93'], 779.0)];[([(255, 255, 255), 'White'], 12188.0), ([(255, 0, 0), 'Red'], 7667.0), ([(192, 192, 192), 'Silver'], 596.0), ([(128, 128, 128), 'Gray'], 285.0), ([(0, 0, 0), 'Black'], 0.0)]
56;56;0Np4K_PAfnI;2;['ERROR'];[True];[404];[];[];;[];[];[]
