;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors;gray_mean_score;color_mean_score;gray_hist_score;red_hist_score;green_hist_score;blue_hist_score;edges_score;entropy_score;vevo
10;10;-39ysKKpE7I;1;['images\\maxresdefault\\10_US_-39ysKKpE7I_0.jpg'];[False];[200];['person', 'tie'];[0.9191066, 0.83325565];" 
";['happy'];[([(28, 28, 28), 'Grey11'], 9844.0), ([(108, 108, 108), 'Grey42'], 4221.0), ([(18, 18, 18), 'Grey7'], 3988.0), ([(38, 38, 38), 'Grey15'], 3206.0), ([(135, 95, 95), 'LightPink4'], 2368.0)];[([(0, 0, 0), 'Black'], 9595.0), ([(128, 128, 128), 'Gray'], 6340.0), ([(128, 128, 0), 'Olive'], 1749.0), ([(192, 192, 192), 'Silver'], 1596.0), ([(255, 255, 255), 'White'], 833.0)];1120010.0;953823.0;3482.2041015625;3771.263916015625;3597.093017578125;3607.3505859375;1678946.0;276.09415398695796;False
11;11;-3h4Xt9No9o;10;['images\\maxresdefault\\11_US_-3h4Xt9No9o_0.jpg'];[False];[200];[];[];" 
  
   

4 LEN
Ve 1k

hs CST ay Ne te

     
  

alaghyd
ATKA I.

    
 

if

ae
ipa Bengt
i Oe
";[];[([(68, 68, 68), 'Grey27'], 6724.0), ([(38, 38, 38), 'Grey15'], 6045.0), ([(28, 28, 28), 'Grey11'], 5563.0), ([(0, 95, 95), 'DeepSkyBlue4'], 5168.0), ([(58, 58, 58), 'Grey23'], 3941.0)];[([(128, 128, 128), 'Gray'], 7436.0), ([(192, 192, 192), 'Silver'], 4679.0), ([(0, 128, 128), 'Teal'], 3276.0), ([(0, 0, 128), 'Navy'], 3011.0), ([(0, 0, 0), 'Black'], 1401.0)];1355622.0;950803.0;5254.3896484375;5716.04296875;5571.943359375;4590.416015625;1678398.0;226.1136025626359;False
12;12;-3nEHRN6IPg;5;['images\\maxresdefault\\12_US_-3nEHRN6IPg_0.jpg'];[False];[200];[];[];"a JerryRigEverything SS

 
";[];[([(255, 255, 255), 'White'], 27889.0), ([(255, 135, 0), 'DarkOrange'], 5355.0), ([(238, 238, 238), 'Grey93'], 3808.0), ([(68, 68, 68), 'Grey27'], 3048.0), ([(58, 58, 58), 'Grey23'], 3025.0)];[([(255, 255, 255), 'White'], 6388.0), ([(128, 128, 128), 'Gray'], 4389.0), ([(0, 0, 0), 'Black'], 2864.0), ([(0, 128, 128), 'Teal'], 1954.0), ([(192, 192, 192), 'Silver'], 1613.0)];1134713.0;1238686.0;9511.71875;8405.611328125;9271.5458984375;10124.3740234375;1679816.0;401.87175380391255;False
13;13;-4s2MeUgduo;13;['images\\maxresdefault\\13_US_-4s2MeUgduo_0.jpg'];[False];[200];['person', 'person'];[0.75609887, 0.5903254];" 
";[];[([(135, 95, 95), 'LightPink4'], 3964.0), ([(78, 78, 78), 'Grey30'], 2827.0), ([(68, 68, 68), 'Grey27'], 2596.0), ([(95, 135, 215), 'SteelBlue3'], 2516.0), ([(0, 95, 215), 'DodgerBlue3'], 2468.0)];[([(128, 128, 128), 'Gray'], 8515.0), ([(192, 192, 192), 'Silver'], 6552.0), ([(128, 0, 0), 'Maroon'], 1410.0), ([(128, 128, 0), 'Olive'], 1234.0), ([(0, 0, 0), 'Black'], 1080.0)];991327.0;996841.0;5038.171875;4395.509765625;4954.39453125;4027.2451171875;1678858.0;250.09403958357169;False
14;14;-5aaJJQFvOg;11;['images\\maxresdefault\\14_US_-5aaJJQFvOg_0.jpg'];[False];[200];['person', 'person', 'person', 'person', 'person', 'tie', 'person', 'tie', 'tie', 'person'];[0.8760423, 0.72684914, 0.66787523, 0.63907856, 0.62926537, 0.6142755, 0.5575505, 0.5509958, 0.55011684, 0.5349407];" 
";['neutral', 'sad', 'happy', 'happy', 'happy'];[([(18, 18, 18), 'Grey7'], 4862.0), ([(28, 28, 28), 'Grey11'], 4572.0), ([(188, 188, 188), 'Grey74'], 3354.0), ([(175, 175, 215), 'LightSteelBlue3'], 2709.0), ([(8, 8, 8), 'Grey3'], 2500.0)];[([(192, 192, 192), 'Silver'], 7417.0), ([(0, 0, 0), 'Black'], 7300.0), ([(128, 128, 128), 'Gray'], 4304.0), ([(128, 0, 0), 'Maroon'], 795.0), ([(255, 255, 255), 'White'], 578.0)];1027255.0;1088156.0;3954.434814453125;3531.2197265625;4178.56787109375;5565.09521484375;1679064.0;264.2958471570758;False
15;15;-66xHRJSPxs;4;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
16;16;-7AZX5Xtiks;4;['images\\maxresdefault\\16_US_-7AZX5Xtiks_0.jpg'];[False];[200];['person', 'person'];[0.8967256, 0.8109023];" 
";['sad'];[([(255, 255, 255), 'White'], 10352.0), ([(255, 175, 255), 'Plum1'], 4358.0), ([(255, 215, 255), 'Thistle1'], 4028.0), ([(8, 8, 8), 'Grey3'], 3491.0), ([(18, 18, 18), 'Grey7'], 3148.0)];[([(255, 255, 255), 'White'], 5339.0), ([(0, 0, 0), 'Black'], 3626.0), ([(128, 128, 128), 'Gray'], 3275.0), ([(192, 192, 192), 'Silver'], 3230.0), ([(128, 0, 128), 'Purple'], 2561.0)];1066616.0;1128740.0;5121.58740234375;5831.2451171875;4385.67041015625;5571.46875;1678884.0;319.2707928154673;False
17;17;-7UzyXO-mzk;6;['images\\maxresdefault\\17_US_-7UzyXO-mzk_0.jpg'];[False];[200];['person'];[0.6837939];" 

 

 
";[];[([(215, 215, 175), 'LightYellow3'], 4493.0), ([(215, 175, 135), 'Tan'], 2955.0), ([(175, 175, 135), 'NavajoWhite3'], 2728.0), ([(228, 228, 228), 'Grey89'], 2666.0), ([(215, 175, 175), 'MistyRose3'], 2582.0)];[([(192, 192, 192), 'Silver'], 11433.0), ([(128, 128, 128), 'Gray'], 7015.0), ([(255, 255, 255), 'White'], 1364.0), ([(128, 128, 0), 'Olive'], 381.0), ([(0, 0, 0), 'Black'], 286.0)];770402.0;979995.0;7605.935546875;6870.37841796875;7587.291015625;7397.830078125;1678414.0;300.75311749227774;False
18;18;-7_ATlZ-zMc;15;['images\\maxresdefault\\18_US_-7_ATlZ-zMc_0.jpg'];[False];[200];['car', 'car', 'car', 'truck', 'truck'];[0.8621751, 0.73158777, 0.578954, 0.55066156, 0.51581126];" 
";[];[([(8, 8, 8), 'Grey3'], 4003.0), ([(78, 78, 78), 'Grey30'], 3473.0), ([(215, 255, 255), 'LightCyan1'], 3333.0), ([(88, 88, 88), 'Grey35'], 3249.0), ([(18, 18, 18), 'Grey7'], 3190.0)];[([(128, 128, 128), 'Gray'], 8864.0), ([(192, 192, 192), 'Silver'], 4626.0), ([(0, 0, 0), 'Black'], 3937.0), ([(0, 128, 128), 'Teal'], 1825.0), ([(0, 0, 128), 'Navy'], 765.0)];1015763.0;1124984.0;4871.7275390625;4610.7900390625;4811.45751953125;4102.3583984375;1679133.0;242.42375014300424;False
19;19;-8ZHXaGILlc;1;['images\\maxresdefault\\19_US_-8ZHXaGILlc_0.jpg'];[False];[200];['person', 'snowboard'];[0.84468555, 0.7920499];" 

Q&BNBCoperwr
";[];[([(255, 255, 255), 'White'], 23209.0), ([(238, 238, 238), 'Grey93'], 5502.0), ([(228, 228, 228), 'Grey89'], 2998.0), ([(218, 218, 218), 'Grey85'], 2714.0), ([(68, 68, 68), 'Grey27'], 2379.0)];[([(255, 255, 255), 'White'], 12287.0), ([(192, 192, 192), 'Silver'], 6056.0), ([(128, 128, 128), 'Gray'], 2100.0), ([(0, 0, 0), 'Black'], 156.0), ([(128, 0, 128), 'Purple'], 63.0)];1039164.0;1193707.0;10317.2958984375;10254.515625;10298.3974609375;9380.890625;1680218.0;933.7803454982268;False
20;20;-9OfAHgdV8Y;1;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
21;21;-9rdDeWzvsU;1;['images\\maxresdefault\\21_US_-9rdDeWzvsU_0.jpg'];[False];[200];['person', 'person', 'person'];[0.9162173, 0.73895144, 0.61148775];" 
";['angry', 'fear', 'angry'];[([(28, 28, 28), 'Grey11'], 8493.0), ([(38, 38, 38), 'Grey15'], 6112.0), ([(48, 48, 48), 'Grey19'], 6030.0), ([(58, 58, 58), 'Grey23'], 5547.0), ([(68, 68, 68), 'Grey27'], 4271.0)];[([(0, 0, 0), 'Black'], 8609.0), ([(128, 128, 128), 'Gray'], 7202.0), ([(192, 192, 192), 'Silver'], 1674.0), ([(128, 128, 0), 'Olive'], 1269.0), ([(0, 128, 128), 'Teal'], 875.0)];1324517.0;959051.0;5147.412109375;5758.02783203125;5673.5576171875;4652.24365234375;1678906.0;232.25534835831138;False
22;22;-AY-HC4sUGU;2;['images\\maxresdefault\\22_US_-AY-HC4sUGU_0.jpg'];[False];[200];['airplane', 'truck'];[0.9390986, 0.5412709];" 

 
";[];[([(135, 175, 215), 'LightSkyBlue3'], 11379.0), ([(95, 135, 175), 'SteelBlue'], 8082.0), ([(175, 135, 135), 'RosyBrown'], 5376.0), ([(175, 175, 215), 'LightSteelBlue3'], 4394.0), ([(175, 175, 135), 'NavajoWhite3'], 3696.0)];[([(192, 192, 192), 'Silver'], 11699.0), ([(128, 128, 128), 'Gray'], 5767.0), ([(255, 255, 255), 'White'], 2636.0), ([(0, 0, 0), 'Black'], 507.0), ([(128, 0, 0), 'Maroon'], 72.0)];613530.0;1223611.0;9293.361328125;8542.12890625;9139.927734375;7978.81884765625;1679867.0;257.15055485642375;False
23;23;-BDImdAfodA;6;['images\\maxresdefault\\23_US_-BDImdAfodA_0.jpg'];[False];[200];['person'];[0.90380037];" 
";['happy'];[([(28, 28, 28), 'Grey11'], 4443.0), ([(38, 38, 38), 'Grey15'], 4313.0), ([(48, 48, 48), 'Grey19'], 3800.0), ([(58, 58, 58), 'Grey23'], 3019.0), ([(18, 18, 18), 'Grey7'], 2665.0)];[([(192, 192, 192), 'Silver'], 8208.0), ([(128, 128, 128), 'Gray'], 7652.0), ([(128, 0, 0), 'Maroon'], 1623.0), ([(0, 0, 0), 'Black'], 1402.0), ([(128, 128, 0), 'Olive'], 870.0)];1072894.0;971766.0;3051.813232421875;3156.435546875;3144.42431640625;3437.64404296875;1678441.0;273.72234298135226;False
24;24;-BQJo3vK8O8;11;['images\\maxresdefault\\24_US_-BQJo3vK8O8_0.jpg'];[False];[200];['person'];[0.83007824];" 
";[];[([(135, 95, 95), 'LightPink4'], 9014.0), ([(175, 135, 95), 'LightSalmon3'], 8816.0), ([(38, 38, 38), 'Grey15'], 8204.0), ([(28, 28, 28), 'Grey11'], 5005.0), ([(135, 95, 0), 'Orange4'], 4653.0)];[([(128, 128, 128), 'Gray'], 9824.0), ([(0, 0, 0), 'Black'], 5544.0), ([(128, 128, 0), 'Olive'], 2809.0), ([(128, 0, 0), 'Maroon'], 2429.0), ([(0, 0, 128), 'Navy'], 61.0)];1173351.0;908107.0;7044.8125;8622.021484375;7292.26171875;6752.48193359375;1679921.0;224.89303283377188;False
25;25;-C5q3oir8gA;7;['images\\maxresdefault\\25_US_-C5q3oir8gA_0.jpg'];[False];[200];['person'];[0.8498001];"   
 

  
  

S

—=
> -
";['angry', 'neutral', 'surprise'];[([(0, 0, 0), 'Black'], 10429.0), ([(0, 135, 95), 'SpringGreen4'], 6573.0), ([(255, 255, 255), 'White'], 6373.0), ([(18, 18, 18), 'Grey7'], 2299.0), ([(8, 8, 8), 'Grey3'], 2133.0)];[([(0, 0, 0), 'Black'], 6536.0), ([(128, 128, 128), 'Gray'], 4803.0), ([(255, 255, 255), 'White'], 3391.0), ([(192, 192, 192), 'Silver'], 3098.0), ([(0, 0, 128), 'Navy'], 1222.0)];1085613.0;1213783.0;3975.518798828125;3398.9365234375;3675.9765625;2930.279296875;1678231.0;280.5333485871182;False
26;26;-CS84oCtjvc;3;['images\\maxresdefault\\26_US_-CS84oCtjvc_0.jpg'];[False];[200];[];[];" 
";[];[([(8, 8, 8), 'Grey3'], 8241.0), ([(18, 18, 18), 'Grey7'], 5790.0), ([(68, 68, 68), 'Grey27'], 4872.0), ([(58, 58, 58), 'Grey23'], 4665.0), ([(38, 38, 38), 'Grey15'], 3830.0)];[([(0, 0, 0), 'Black'], 9601.0), ([(128, 128, 128), 'Gray'], 4837.0), ([(128, 128, 0), 'Olive'], 2225.0), ([(128, 0, 0), 'Maroon'], 1695.0), ([(0, 128, 0), 'Green'], 1393.0)];1432692.0;1104581.0;5496.36181640625;5597.384765625;5220.23974609375;5334.98193359375;1678948.0;237.41780116691456;False
27;27;-C_rvt0SwLE;8;['images\\maxresdefault\\27_US_-C_rvt0SwLE_0.jpg'];[False];[200];[];[];" 
       

INNNGINE DRAGONS

Me he
";[];[([(38, 38, 38), 'Grey15'], 10984.0), ([(28, 28, 28), 'Grey11'], 7334.0), ([(48, 48, 48), 'Grey19'], 7179.0), ([(95, 95, 135), 'MediumPurple4'], 6848.0), ([(135, 95, 135), 'Plum4'], 3530.0)];[([(128, 128, 128), 'Gray'], 6374.0), ([(128, 0, 128), 'Purple'], 5847.0), ([(0, 0, 128), 'Navy'], 4599.0), ([(0, 0, 0), 'Black'], 1848.0), ([(0, 128, 128), 'Teal'], 1516.0)];1501928.0;850966.0;7616.40966796875;6336.2744140625;9108.62890625;5926.8173828125;1679526.0;263.4202036380277;False
28;28;-EL8TuMsb-k;14;['images\\maxresdefault\\28_US_-EL8TuMsb-k_0.jpg'];[False];[200];['person', 'person', 'person', 'person'];[0.89301234, 0.6927986, 0.6112521, 0.5880587];" 
";['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'];[([(135, 95, 95), 'LightPink4'], 5157.0), ([(215, 175, 135), 'Tan'], 3579.0), ([(175, 135, 95), 'LightSalmon3'], 3389.0), ([(215, 175, 175), 'MistyRose3'], 2952.0), ([(175, 95, 95), 'IndianRed'], 2840.0)];[([(128, 128, 128), 'Gray'], 7180.0), ([(192, 192, 192), 'Silver'], 5875.0), ([(0, 0, 0), 'Black'], 2928.0), ([(128, 0, 0), 'Maroon'], 2236.0), ([(128, 128, 0), 'Olive'], 1647.0)];892900.0;1044380.0;3955.274169921875;3472.966796875;3859.471435546875;4516.6103515625;1678295.0;364.37318384624183;False
29;29;-El8z4uy5Ac;6;['images\\maxresdefault\\29_US_-El8z4uy5Ac_0.jpg'];[False];[200];[];[];" 
";[];[([(0, 0, 0), 'Black'], 10248.0), ([(8, 8, 8), 'Grey3'], 8957.0), ([(18, 18, 18), 'Grey7'], 4783.0), ([(135, 95, 0), 'Orange4'], 3621.0), ([(95, 95, 0), 'Orange4'], 3152.0)];[([(0, 0, 0), 'Black'], 6567.0), ([(128, 0, 0), 'Maroon'], 5082.0), ([(128, 128, 128), 'Gray'], 3115.0), ([(128, 128, 0), 'Olive'], 2981.0), ([(255, 255, 0), 'Yellow'], 2024.0)];1255551.0;1231835.0;4651.9775390625;6695.18505859375;4653.05078125;4212.451171875;1678936.0;218.56915684704268;False
30;30;-HoAafTYR9w;5;['images\\maxresdefault\\30_US_-HoAafTYR9w_0.jpg'];[False];[200];['person', 'tie'];[0.8189832, 0.6944904];" 
";['sad'];[([(228, 228, 228), 'Grey89'], 4108.0), ([(218, 218, 218), 'Grey85'], 4020.0), ([(238, 238, 238), 'Grey93'], 3724.0), ([(208, 208, 208), 'Grey82'], 3515.0), ([(175, 135, 95), 'LightSalmon3'], 3485.0)];[([(128, 128, 128), 'Gray'], 7283.0), ([(255, 255, 255), 'White'], 6429.0), ([(192, 192, 192), 'Silver'], 5744.0), ([(128, 128, 0), 'Olive'], 500.0), ([(0, 0, 0), 'Black'], 411.0)];918763.0;925324.0;5276.03076171875;4544.6337890625;5252.26416015625;5845.8486328125;1679474.0;189.13636883651756;False
31;31;-HrakxB4Klo;5;['images\\maxresdefault\\31_US_-HrakxB4Klo_0.jpg'];[False];[200];['person', 'knife'];[0.5906008, 0.5905209];" 
";['surprise'];[([(255, 255, 255), 'White'], 13870.0), ([(18, 18, 18), 'Grey7'], 3778.0), ([(135, 95, 95), 'LightPink4'], 2688.0), ([(255, 215, 175), 'NavajoWhite1'], 1968.0), ([(215, 135, 95), 'LightSalmon3'], 1933.0)];[([(255, 255, 255), 'White'], 5457.0), ([(128, 128, 128), 'Gray'], 4437.0), ([(0, 0, 0), 'Black'], 3792.0), ([(192, 192, 192), 'Silver'], 2972.0), ([(128, 0, 0), 'Maroon'], 2508.0)];1124637.0;1169367.0;3848.75341796875;3407.658447265625;3694.259033203125;4903.310546875;1678870.0;453.5095526827594;False
32;32;-IqpbDJFbZA;4;['images\\maxresdefault\\32_US_-IqpbDJFbZA_0.jpg'];[False];[200];['laptop'];[0.9792662];" 
";[];[([(28, 28, 28), 'Grey11'], 7583.0), ([(38, 38, 38), 'Grey15'], 7274.0), ([(48, 48, 48), 'Grey19'], 5528.0), ([(58, 58, 58), 'Grey23'], 5168.0), ([(68, 68, 68), 'Grey27'], 4195.0)];[([(0, 0, 0), 'Black'], 6171.0), ([(128, 128, 128), 'Gray'], 5533.0), ([(0, 128, 128), 'Teal'], 1996.0), ([(192, 192, 192), 'Silver'], 1694.0), ([(0, 0, 128), 'Navy'], 1625.0)];1338696.0;892731.0;5202.8994140625;3992.85009765625;5243.40673828125;5614.16015625;1678690.0;249.40441597071273;False
33;33;-JVITToppE0;2;['images\\maxresdefault\\33_US_-JVITToppE0_0.jpg'];[False];[200];['person', 'bottle'];[0.95306873, 0.7567573];" 
";['happy'];[([(135, 95, 95), 'LightPink4'], 11819.0), ([(68, 68, 68), 'Grey27'], 4771.0), ([(78, 78, 78), 'Grey30'], 4481.0), ([(255, 255, 255), 'White'], 4030.0), ([(58, 58, 58), 'Grey23'], 2906.0)];[([(128, 128, 128), 'Gray'], 11369.0), ([(255, 255, 255), 'White'], 2931.0), ([(0, 0, 0), 'Black'], 2326.0), ([(192, 192, 192), 'Silver'], 1983.0), ([(128, 0, 0), 'Maroon'], 1687.0)];1297997.0;1095038.0;5686.0361328125;4218.60498046875;5305.5537109375;6390.0810546875;1678847.0;242.86649124814093;False
34;34;-KB5QbOS4s4;3;['images\\maxresdefault\\34_US_-KB5QbOS4s4_0.jpg'];[False];[200];['person', 'person'];[0.83642405, 0.8225327];"      

DAILY LUPITA NYONG’O - WHY “BLACK
SHOW PANTHER” IS A DIFFERENT
a ©» KIND OF SUPERHERO MOVIE
";['sad'];[([(48, 48, 48), 'Grey19'], 7071.0), ([(8, 8, 8), 'Grey3'], 6573.0), ([(38, 38, 38), 'Grey15'], 4316.0), ([(18, 18, 18), 'Grey7'], 4136.0), ([(58, 58, 58), 'Grey23'], 3825.0)];[([(0, 0, 0), 'Black'], 9808.0), ([(128, 128, 128), 'Gray'], 5999.0), ([(0, 0, 128), 'Navy'], 1990.0), ([(128, 0, 0), 'Maroon'], 1181.0), ([(192, 192, 192), 'Silver'], 492.0)];1232863.0;967216.0;4043.327880859375;4190.01513671875;4116.7392578125;3741.193115234375;1678790.0;277.19071044502914;False
35;35;-L4RYm9Tq7I;5;['images\\maxresdefault\\35_US_-L4RYm9Tq7I_0.jpg'];[False];[200];['person', 'person'];[0.85540015, 0.525031];" 

 
";['sad'];[([(255, 255, 255), 'White'], 4672.0), ([(68, 68, 68), 'Grey27'], 4436.0), ([(78, 78, 78), 'Grey30'], 3456.0), ([(38, 38, 38), 'Grey15'], 2933.0), ([(58, 58, 58), 'Grey23'], 2703.0)];[([(128, 128, 128), 'Gray'], 6292.0), ([(192, 192, 192), 'Silver'], 6028.0), ([(0, 0, 0), 'Black'], 2852.0), ([(255, 255, 255), 'White'], 2187.0), ([(0, 0, 128), 'Navy'], 2031.0)];1027842.0;1064814.0;3478.88623046875;4713.7451171875;3769.02392578125;2938.5576171875;1678773.0;307.1337375586317;False
36;36;-NEhvlJA5q8;5;['images\\maxresdefault\\36_US_-NEhvlJA5q8_0.jpg'];[False];[200];['train', 'person'];[0.5684163, 0.56520104];" 
";[];[([(175, 135, 95), 'LightSalmon3'], 8433.0), ([(38, 38, 38), 'Grey15'], 6991.0), ([(135, 95, 95), 'LightPink4'], 6123.0), ([(48, 48, 48), 'Grey19'], 5076.0), ([(58, 58, 58), 'Grey23'], 4272.0)];[([(128, 128, 128), 'Gray'], 14896.0), ([(192, 192, 192), 'Silver'], 2082.0), ([(0, 0, 0), 'Black'], 1950.0), ([(128, 128, 0), 'Olive'], 827.0), ([(128, 0, 0), 'Maroon'], 779.0)];1044502.0;852087.0;5392.1748046875;6427.56103515625;5973.5068359375;5111.93701171875;1678980.0;230.6288754147123;False
