;number;id;count;thumbnail_path;error;status;obj_names;obj_scores;ocr_texts;emotions;colors;cropped_colors;gray_mean_score;color_mean_score;gray_hist_score;red_hist_score;blue_hist_score;green_hist_score;edges_score;entropy_score;vevo
10;10;-CCw4ZzOGlI;7;['images\\maxresdefault\\10_GB_-CCw4ZzOGlI_0.jpg'];[False];[200];[];[];"  

Bmias yy

 
";[];[([(95, 95, 215), 'SlateBlue3'], 19620.0), ([(38, 38, 38), 'Grey15'], 6565.0), ([(48, 48, 48), 'Grey19'], 5231.0), ([(95, 0, 135), 'Purple4'], 4389.0), ([(95, 0, 95), 'DeepPink4'], 2796.0)];[([(0, 0, 128), 'Navy'], 5986.0), ([(128, 0, 128), 'Purple'], 5722.0), ([(0, 0, 0), 'Black'], 2083.0), ([(192, 192, 192), 'Silver'], 1734.0), ([(255, 255, 0), 'Yellow'], 1661.0)];1526387.0;791312.0;8088.6318359375;5330.2392578125;8167.8955078125;8254.43359375;1679260.0;229.85676696030202;False
11;11;-DRsfNObKIQ;35;['images\\maxresdefault\\11_GB_-DRsfNObKIQ_0.jpg'];[False];[200];[];[];" 
  

or

Ss aoa
BON 2018

\cyprus "" &

 
";['neutral'];[([(0, 0, 95), 'NavyBlue'], 6707.0), ([(95, 0, 0), 'DarkRed'], 4999.0), ([(38, 38, 38), 'Grey15'], 4347.0), ([(255, 0, 0), 'Red'], 4150.0), ([(215, 0, 0), 'Red3'], 3222.0)];[([(255, 0, 0), 'Red'], 8489.0), ([(0, 0, 128), 'Navy'], 3960.0), ([(128, 0, 0), 'Maroon'], 3488.0), ([(128, 128, 128), 'Gray'], 2420.0), ([(255, 255, 255), 'White'], 761.0)];1326200.0;963040.0;6423.8720703125;5835.5498046875;3283.018798828125;4906.76611328125;1679330.0;259.13785608054;False
12;12;-GZZ-KSfuCw;8;['images\\maxresdefault\\12_GB_-GZZ-KSfuCw_0.jpg'];[False];[200];['person', 'person'];[0.74404925, 0.52531374];" 
";['sad'];[([(28, 28, 28), 'Grey11'], 6012.0), ([(135, 175, 215), 'LightSkyBlue3'], 5264.0), ([(38, 38, 38), 'Grey15'], 4652.0), ([(68, 68, 68), 'Grey27'], 4211.0), ([(58, 58, 58), 'Grey23'], 4018.0)];[([(0, 0, 0), 'Black'], 6322.0), ([(128, 128, 128), 'Gray'], 4590.0), ([(0, 0, 128), 'Navy'], 2923.0), ([(192, 192, 192), 'Silver'], 2446.0), ([(128, 128, 0), 'Olive'], 1706.0)];1221824.0;997231.0;5100.6484375;4556.56201171875;5730.07373046875;5186.79638671875;1678624.0;278.0609770049193;False
13;13;-Gptp_ui-Sg;12;['images\\maxresdefault\\13_GB_-Gptp_ui-Sg_0.jpg'];[False];[200];['person'];[0.7504187];" 
";[];[([(135, 95, 95), 'LightPink4'], 2963.0), ([(78, 78, 78), 'Grey30'], 2886.0), ([(68, 68, 68), 'Grey27'], 2848.0), ([(175, 135, 95), 'LightSalmon3'], 2740.0), ([(58, 58, 58), 'Grey23'], 2706.0)];[([(128, 128, 128), 'Gray'], 10691.0), ([(192, 192, 192), 'Silver'], 4400.0), ([(128, 0, 128), 'Purple'], 1630.0), ([(0, 0, 0), 'Black'], 1533.0), ([(128, 0, 0), 'Maroon'], 1145.0)];1004324.0;1000166.0;5304.74609375;5758.2734375;5621.8251953125;5043.015625;1678116.0;285.3427525454754;False
14;14;-GvVeT7pNT8;12;['images\\maxresdefault\\14_GB_-GvVeT7pNT8_0.jpg'];[False];[200];['person'];[0.9817238];" 
";['neutral'];[([(135, 135, 175), 'LightSlateGrey'], 12505.0), ([(175, 175, 215), 'LightSteelBlue3'], 10261.0), ([(255, 255, 255), 'White'], 6701.0), ([(238, 238, 238), 'Grey93'], 2879.0), ([(168, 168, 168), 'Grey66'], 2273.0)];[([(192, 192, 192), 'Silver'], 11637.0), ([(255, 255, 255), 'White'], 3829.0), ([(128, 0, 0), 'Maroon'], 1928.0), ([(128, 128, 128), 'Gray'], 1599.0), ([(0, 0, 0), 'Black'], 1021.0)];701231.0;1111537.0;7708.8896484375;8869.36328125;7411.970703125;7694.24609375;1679541.0;204.31998627159365;False
15;15;-Hz00xRLPyo;12;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
16;16;-KeFvjm_hcA;1;['images\\maxresdefault\\16_GB_-KeFvjm_hcA_0.jpg'];[False];[200];['person'];[0.844957];" 
";['neutral'];[([(215, 215, 175), 'LightYellow3'], 7799.0), ([(218, 218, 218), 'Grey85'], 3063.0), ([(228, 228, 228), 'Grey89'], 3047.0), ([(255, 215, 175), 'NavajoWhite1'], 2959.0), ([(238, 238, 238), 'Grey93'], 2810.0)];[([(192, 192, 192), 'Silver'], 6473.0), ([(255, 255, 255), 'White'], 4496.0), ([(0, 0, 0), 'Black'], 3059.0), ([(128, 128, 0), 'Olive'], 2636.0), ([(128, 128, 128), 'Gray'], 2283.0)];1040418.0;904749.0;5111.88720703125;4770.623046875;4663.10302734375;5233.17724609375;1679177.0;261.03317698203864;False
17;17;-N5eucPMTTc;1;['images\\maxresdefault\\17_GB_-N5eucPMTTc_0.jpg'];[False];[200];['person', 'person', 'person'];[0.60928327, 0.604439, 0.5856226];" 
";['happy', 'neutral'];[([(208, 208, 208), 'Grey82'], 4304.0), ([(228, 228, 228), 'Grey89'], 3974.0), ([(198, 198, 198), 'Grey78'], 3137.0), ([(255, 255, 255), 'White'], 2884.0), ([(8, 8, 8), 'Grey3'], 2447.0)];[([(192, 192, 192), 'Silver'], 5571.0), ([(0, 0, 0), 'Black'], 4489.0), ([(255, 255, 255), 'White'], 3610.0), ([(128, 128, 128), 'Gray'], 3195.0), ([(255, 255, 0), 'Yellow'], 1678.0)];947953.0;973334.0;5612.3515625;4733.607421875;5014.560546875;5733.521484375;1678630.0;329.55943255920374;False
18;18;-PJaVBbRKcI;1;['images\\maxresdefault\\18_GB_-PJaVBbRKcI_0.jpg'];[False];[200];['person', 'person'];[0.93382066, 0.79768896];" 
";['happy'];[([(215, 255, 255), 'LightCyan1'], 5098.0), ([(58, 58, 58), 'Grey23'], 4701.0), ([(28, 28, 28), 'Grey11'], 3998.0), ([(38, 38, 38), 'Grey15'], 3843.0), ([(48, 48, 48), 'Grey19'], 3680.0)];[([(0, 0, 0), 'Black'], 5964.0), ([(128, 128, 128), 'Gray'], 4409.0), ([(192, 192, 192), 'Silver'], 3586.0), ([(0, 0, 128), 'Navy'], 3423.0), ([(255, 255, 255), 'White'], 1936.0)];1216434.0;1033138.0;2904.83984375;2930.2568359375;3903.243896484375;2460.599609375;1678759.0;332.74991419746027;False
19;19;-QPdRfqTnt4;1;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
20;20;-SIp6xSP7ds;13;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
21;21;-VgOGzBcMIg;5;['images\\maxresdefault\\21_GB_-VgOGzBcMIg_0.jpg'];[False];[200];['person'];[0.9366237];"   

~@eeetArvre
";[];[([(198, 198, 198), 'Grey78'], 3268.0), ([(95, 135, 135), 'PaleTurquoise4'], 3124.0), ([(135, 175, 135), 'DarkSeaGreen'], 3097.0), ([(95, 135, 175), 'SteelBlue'], 2968.0), ([(215, 175, 175), 'MistyRose3'], 2368.0)];[([(128, 128, 128), 'Gray'], 9743.0), ([(192, 192, 192), 'Silver'], 7408.0), ([(0, 128, 128), 'Teal'], 2001.0), ([(128, 0, 128), 'Purple'], 1048.0), ([(128, 0, 0), 'Maroon'], 403.0)];709065.0;1019514.0;8099.20751953125;8306.015625;6738.794921875;7778.517578125;1678504.0;216.05159592723948;False
22;22;-XcvFTYVxnA;1;['images\\maxresdefault\\22_GB_-XcvFTYVxnA_0.jpg'];[False];[200];['person', 'person'];[0.8807458, 0.78260773];" 
";['happy'];[([(28, 28, 28), 'Grey11'], 5611.0), ([(135, 95, 95), 'LightPink4'], 5142.0), ([(8, 8, 8), 'Grey3'], 4850.0), ([(18, 18, 18), 'Grey7'], 4245.0), ([(175, 135, 95), 'LightSalmon3'], 3841.0)];[([(128, 128, 128), 'Gray'], 10643.0), ([(0, 0, 0), 'Black'], 5909.0), ([(192, 192, 192), 'Silver'], 1633.0), ([(128, 0, 0), 'Maroon'], 1609.0), ([(128, 128, 0), 'Olive'], 922.0)];1128853.0;965960.0;3680.01953125;4662.65771484375;3863.81494140625;3741.6748046875;1678867.0;277.84589863859975;False
23;23;-XjayddbksQ;1;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
24;24;-a12nTEcoqE;1;['images\\maxresdefault\\24_GB_-a12nTEcoqE_0.jpg'];[False];[200];['person', 'person'];[0.54462355, 0.52130157];"Peed ade

    

NEEDS NO INTRODU¢

""™ DAVID LEY

   
";['happy'];[([(28, 28, 28), 'Grey11'], 21564.0), ([(18, 18, 18), 'Grey7'], 8888.0), ([(38, 38, 38), 'Grey15'], 5076.0), ([(135, 95, 95), 'LightPink4'], 3131.0), ([(48, 48, 48), 'Grey19'], 2434.0)];[([(0, 0, 0), 'Black'], 11261.0), ([(128, 128, 128), 'Gray'], 5199.0), ([(128, 0, 0), 'Maroon'], 2542.0), ([(192, 192, 192), 'Silver'], 600.0), ([(255, 255, 255), 'White'], 542.0)];1353087.0;743160.0;7112.6376953125;6722.74169921875;6761.173828125;7000.8720703125;1679539.0;476.34927353849673;False
25;25;-bx_vG94LSo;22;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
26;26;-crLmRLgeNE;3;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
27;27;-i1_jpjmdJE;10;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
28;28;-jWIDwq44ZI;5;['images\\maxresdefault\\28_GB_-jWIDwq44ZI_0.jpg'];[False];[200];[];[];"MID-SEASON FOUR TRAILER

&

 
";['happy'];[([(8, 8, 8), 'Grey3'], 23942.0), ([(0, 0, 0), 'Black'], 9680.0), ([(18, 18, 18), 'Grey7'], 7168.0), ([(28, 28, 28), 'Grey11'], 3010.0), ([(38, 38, 38), 'Grey15'], 1419.0)];[([(0, 0, 0), 'Black'], 14946.0), ([(128, 128, 0), 'Olive'], 1981.0), ([(128, 128, 128), 'Gray'], 1388.0), ([(0, 128, 0), 'Green'], 1299.0), ([(128, 0, 0), 'Maroon'], 621.0)];1280724.0;1403675.0;8219.130859375;9348.724609375;8600.876953125;7391.947265625;1679623.0;297.7923578537925;False
29;29;-kxPDAiuijo;13;['images\\maxresdefault\\29_GB_-kxPDAiuijo_0.jpg'];[False];[200];['person', 'person', 'person', 'cup', 'person', 'bottle'];[0.7299646, 0.7196781, 0.70194834, 0.6524659, 0.59042555, 0.557276];" 
";[];[([(58, 58, 58), 'Grey23'], 3665.0), ([(215, 0, 95), 'DeepPink3'], 3397.0), ([(48, 48, 48), 'Grey19'], 3063.0), ([(68, 68, 68), 'Grey27'], 3055.0), ([(78, 78, 78), 'Grey30'], 2663.0)];[([(192, 192, 192), 'Silver'], 5900.0), ([(128, 128, 128), 'Gray'], 5441.0), ([(0, 0, 0), 'Black'], 2991.0), ([(128, 0, 0), 'Maroon'], 2357.0), ([(255, 0, 255), 'Magenta'], 1009.0)];1148216.0;1044459.0;3347.25537109375;3483.091796875;3020.754150390625;3286.888427734375;1678489.0;304.6641116577051;False
30;30;-l6wrTvMcbY;22;['images\\maxresdefault\\30_GB_-l6wrTvMcbY_0.jpg'];[False];[200];[];[];" 
";['neutral'];[([(135, 95, 135), 'Plum4'], 17589.0), ([(255, 175, 95), 'SandyBrown'], 9371.0), ([(215, 135, 95), 'LightSalmon3'], 8493.0), ([(215, 135, 175), 'Pink3'], 7871.0), ([(58, 58, 58), 'Grey23'], 5552.0)];[([(255, 255, 0), 'Yellow'], 7746.0), ([(128, 128, 128), 'Gray'], 5477.0), ([(128, 0, 0), 'Maroon'], 2317.0), ([(192, 192, 192), 'Silver'], 2169.0), ([(0, 0, 0), 'Black'], 1528.0)];530399.0;898243.0;9168.625;7667.578125;8017.5478515625;9356.8203125;1679218.0;390.44994851847616;False
31;31;-mNlASb89Wo;1;['images\\maxresdefault\\31_GB_-mNlASb89Wo_0.jpg'];[False];[200];[];[];" 
";[];[([(18, 18, 18), 'Grey7'], 14916.0), ([(28, 28, 28), 'Grey11'], 11500.0), ([(68, 68, 68), 'Grey27'], 5730.0), ([(48, 48, 48), 'Grey19'], 4965.0), ([(78, 78, 78), 'Grey30'], 4541.0)];[([(0, 0, 0), 'Black'], 10940.0), ([(128, 128, 128), 'Gray'], 4998.0), ([(128, 128, 0), 'Olive'], 1825.0), ([(128, 0, 0), 'Maroon'], 1682.0), ([(192, 192, 192), 'Silver'], 1083.0)];1464522.0;1010563.0;8451.3203125;8291.619140625;7807.89013671875;8313.2265625;1680153.0;393.2499713991534;False
32;32;-mZZAvIHMvQ;15;['images\\maxresdefault\\32_GB_-mZZAvIHMvQ_0.jpg'];[False];[200];[];[];" 
";[];[([(135, 95, 95), 'LightPink4'], 3526.0), ([(68, 68, 68), 'Grey27'], 3455.0), ([(78, 78, 78), 'Grey30'], 3212.0), ([(38, 38, 38), 'Grey15'], 3195.0), ([(175, 135, 135), 'RosyBrown'], 3189.0)];[([(128, 128, 128), 'Gray'], 8756.0), ([(192, 192, 192), 'Silver'], 5887.0), ([(0, 0, 0), 'Black'], 2325.0), ([(0, 255, 0), 'Lime'], 964.0), ([(128, 0, 0), 'Maroon'], 772.0)];1048979.0;1078598.0;3788.35498046875;3757.74560546875;3254.962646484375;4362.50341796875;1678538.0;270.21370552568357;False
33;33;-pOSRBAqUdM;14;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
34;34;-su6If-bd4U;10;['images\\maxresdefault\\34_GB_-su6If-bd4U_0.jpg'];[False];[200];['person', 'book'];[0.73485315, 0.5042101];" 
";[];[([(28, 28, 28), 'Grey11'], 8969.0), ([(38, 38, 38), 'Grey15'], 7253.0), ([(18, 18, 18), 'Grey7'], 5077.0), ([(135, 95, 95), 'LightPink4'], 4580.0), ([(48, 48, 48), 'Grey19'], 4421.0)];[([(128, 128, 128), 'Gray'], 6754.0), ([(0, 0, 0), 'Black'], 5788.0), ([(128, 0, 0), 'Maroon'], 4293.0), ([(128, 128, 0), 'Olive'], 1498.0), ([(192, 192, 192), 'Silver'], 673.0)];1368909.0;882254.0;5375.69921875;5287.3017578125;4942.0498046875;5345.15673828125;1678532.0;235.20615490218512;False
35;35;-tjucPZlcgc;3;['images\\maxresdefault\\35_GB_-tjucPZlcgc_0.jpg'];[False];[200];['person', 'person'];[0.8216245, 0.8205807];" 
";['happy'];[([(238, 238, 238), 'Grey93'], 8565.0), ([(215, 215, 255), 'LightSteelBlue1'], 6563.0), ([(175, 135, 135), 'RosyBrown'], 4801.0), ([(135, 95, 95), 'LightPink4'], 3743.0), ([(38, 38, 38), 'Grey15'], 3658.0)];[([(128, 128, 128), 'Gray'], 6329.0), ([(192, 192, 192), 'Silver'], 4631.0), ([(0, 0, 0), 'Black'], 4441.0), ([(128, 0, 0), 'Maroon'], 1846.0), ([(255, 255, 255), 'White'], 1554.0)];1096930.0;1070528.0;4486.15673828125;4848.9951171875;4086.4951171875;4468.0654296875;1679352.0;261.1246996911109;False
36;36;-trTIbE3N4Y;13;['images\\maxresdefault\\36_GB_-trTIbE3N4Y_0.jpg'];[False];[200];['person', 'bicycle'];[0.8291275, 0.5375915];" 
";['neutral'];[([(8, 8, 8), 'Grey3'], 14890.0), ([(18, 18, 18), 'Grey7'], 11868.0), ([(28, 28, 28), 'Grey11'], 5394.0), ([(38, 38, 38), 'Grey15'], 3456.0), ([(48, 48, 48), 'Grey19'], 2078.0)];[([(0, 0, 0), 'Black'], 13609.0), ([(128, 0, 0), 'Maroon'], 1592.0), ([(128, 128, 128), 'Gray'], 1465.0), ([(0, 128, 128), 'Teal'], 1063.0), ([(128, 128, 0), 'Olive'], 1010.0)];1351729.0;1109842.0;6669.93359375;6642.93603515625;6186.6845703125;6301.240234375;1678887.0;264.99977119322733;False
37;37;-uuq9V38Akw;6;['images\\maxresdefault\\37_GB_-uuq9V38Akw_0.jpg'];[False];[200];['person'];[0.91951567];" 
";['neutral'];[([(95, 135, 135), 'PaleTurquoise4'], 6572.0), ([(95, 95, 135), 'MediumPurple4'], 4768.0), ([(38, 38, 38), 'Grey15'], 4276.0), ([(135, 175, 215), 'LightSkyBlue3'], 3658.0), ([(28, 28, 28), 'Grey11'], 3138.0)];[([(128, 128, 128), 'Gray'], 8859.0), ([(0, 0, 0), 'Black'], 4559.0), ([(192, 192, 192), 'Silver'], 3643.0), ([(0, 0, 128), 'Navy'], 1399.0), ([(128, 0, 0), 'Maroon'], 1054.0)];1050883.0;979006.0;3545.40478515625;3996.62353515625;3577.12451171875;3682.171142578125;1679020.0;191.60999885596615;False
38;38;-xt_j2aIAkg;13;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
39;39;-xxfT301Ii8;6;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
40;40;-yMXWp-Fh3g;10;['images\\maxresdefault\\40_GB_-yMXWp-Fh3g_0.jpg'];[False];[200];['person', 'person'];[0.64974755, 0.5361357];"KAZAKHSTAN |

 
";[];[([(68, 68, 68), 'Grey27'], 6993.0), ([(78, 78, 78), 'Grey30'], 5115.0), ([(58, 58, 58), 'Grey23'], 4685.0), ([(255, 255, 255), 'White'], 4512.0), ([(48, 48, 48), 'Grey19'], 3965.0)];[([(128, 128, 128), 'Gray'], 6138.0), ([(0, 0, 0), 'Black'], 5395.0), ([(192, 192, 192), 'Silver'], 3701.0), ([(0, 128, 128), 'Teal'], 2577.0), ([(255, 255, 255), 'White'], 1951.0)];1208000.0;1060935.0;3853.85498046875;3546.541015625;3827.57421875;4126.56640625;1678309.0;292.7599816954582;False
41;41;-z2EqJTyAiU;14;['images\\maxresdefault\\41_GB_-z2EqJTyAiU_0.jpg'];[False];[200];['person'];[0.5630001];"  
";[];[([(8, 8, 8), 'Grey3'], 12550.0), ([(18, 18, 18), 'Grey7'], 8269.0), ([(28, 28, 28), 'Grey11'], 7116.0), ([(38, 38, 38), 'Grey15'], 6600.0), ([(48, 48, 48), 'Grey19'], 4486.0)];[([(0, 0, 0), 'Black'], 10852.0), ([(128, 128, 128), 'Gray'], 3154.0), ([(0, 128, 128), 'Teal'], 2653.0), ([(0, 0, 128), 'Navy'], 1939.0), ([(192, 192, 192), 'Silver'], 1189.0)];1335199.0;1121623.0;6490.078125;5692.05126953125;6894.08984375;5852.81982421875;1679548.0;247.89726575906647;False
42;42;0-VAnh7r-_8;2;['images\\maxresdefault\\42_GB_0-VAnh7r-_8_0.jpg'];[False];[200];[];[];" 
";[];[([(28, 28, 28), 'Grey11'], 15620.0), ([(18, 18, 18), 'Grey7'], 13251.0), ([(38, 38, 38), 'Grey15'], 9060.0), ([(48, 48, 48), 'Grey19'], 5409.0), ([(58, 58, 58), 'Grey23'], 3087.0)];[([(0, 0, 0), 'Black'], 14719.0), ([(128, 0, 0), 'Maroon'], 1786.0), ([(128, 128, 128), 'Gray'], 1606.0), ([(128, 128, 0), 'Olive'], 1047.0), ([(0, 0, 128), 'Navy'], 727.0)];1463031.0;843440.0;9193.6015625;8738.396484375;8631.27734375;9273.23828125;1679755.0;194.37615833428669;False
43;43;03RQLmDNIEw;7;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
44;44;07w3u8iLa-s;16;['images\\maxresdefault\\44_GB_07w3u8iLa-s_0.jpg'];[False];[200];['person'];[0.8386117];" 
";['fear'];[([(215, 175, 175), 'MistyRose3'], 3889.0), ([(18, 18, 18), 'Grey7'], 3783.0), ([(28, 28, 28), 'Grey11'], 3662.0), ([(215, 175, 135), 'Tan'], 2871.0), ([(215, 215, 175), 'LightYellow3'], 2842.0)];[([(192, 192, 192), 'Silver'], 8162.0), ([(0, 0, 0), 'Black'], 4834.0), ([(128, 128, 0), 'Olive'], 2484.0), ([(128, 128, 128), 'Gray'], 2466.0), ([(128, 0, 0), 'Maroon'], 1439.0)];1016720.0;1076014.0;3560.739501953125;3036.43408203125;3421.44091796875;3569.811767578125;1679351.0;271.96201807573505;False
45;45;08qd-vsHbaY;35;['ERROR'];[True];[404];[];[];;[];[];[];;;;;;;;;
46;46;09lz1fRBBsY;13;['images\\maxresdefault\\46_GB_09lz1fRBBsY_0.jpg'];[False];[200];[];[];" 
";[];[([(18, 18, 18), 'Grey7'], 7116.0), ([(28, 28, 28), 'Grey11'], 6575.0), ([(255, 255, 255), 'White'], 3426.0), ([(48, 48, 48), 'Grey19'], 3054.0), ([(68, 68, 68), 'Grey27'], 2816.0)];[([(128, 128, 128), 'Gray'], 8557.0), ([(0, 0, 0), 'Black'], 7243.0), ([(192, 192, 192), 'Silver'], 2561.0), ([(255, 255, 255), 'White'], 2375.0), ([(255, 0, 0), 'Red'], 0.0)];1142268.0;995987.0;2702.050048828125;2815.5634765625;3191.68603515625;2818.6318359375;1678793.0;332.4410250543416;False
